clause_text,label
"간호사의 부서 배정 변경 시 사전에 이유를 고지하고 의견을 청취하며, 근로자의 전문성과 경력을 고려하여 결정한다.",0
"간호사의 부서 배정은 병원 운영 효율에 따라 수시로 변경할 수 있으며, 배정 변경 거부는 직무 거부로 간주하여 징계 사유로 삼는다.",1
간호사의 정신 건강 상담 기록을 인사 기록에 남겨 향후 배치에 영향준다.,1
간호사의 환자 케어 스타일을 감시하고 임의로 개입할 수 있다.,1
"간호사의 환자 케어 시간은 법정 기준에 따라 책정되며, 일방적 단축은 금지다.",0
"간호사의 환자 케어 시간을 단축하도록 강제할 수 있으며, 환자 안전은 보장하지 않는다.",1
"감독기관 제재가 발생한 경우 회사가 제재 비용을 부담하며, 직원의 명백한 위법 행위로 인한 경우에 한해 합리적 절차로 책임 범위를 결정한다.",0
"감시·단속적 근로자에 대한 근로시간 적용 제외 승인을 고용노동부로부터 받지 않은 경우, 주 52시간 한도 등 근로시간 규정을 전면 적용한다.",0
"감시적, 단속적 근로에 종사하는 경비원의 경우, 심야 수면 시간 중 긴급 순찰 지시를 받더라도 이를 수면 시간으로 보아 임금을 지급하지 않는다.",1
감염 예방을 철저히 한다.,0
감염 위험을 최소화하지 않는다.,1
"감염병 노출 위험을 즉시 알리고, 필요한 조치를 취한다.",0
"감염병 예방교육과 보호구를 제공하며, 감염 발생 시 산재 처리한다.",0
"감염병 예방용 보호구를 회사가 제공하며, 감염 발생 시 산재 처리한다.",0
"감염병 유행 등 비상 의료 상황에서는 초과 근무 시간 제한을 해제하고 회사의 긴급 지시에 무조건 따라야 하며, 이에 따른 추가 수당 청구를 할 수 없다.",1
"감원 시 퇴직금은 법정 기준에 따라 지급되며, 최소화는 금지다.",0
"감정 노동은 업무의 일부이며, 적절한 보상이 필요하다.",0
"갑은 경영상 판단에 따라 전체 직원의 급여 체계를 호봉제에서 성과급제로 일방적으로 변경할 수 있으며, 을은 본 계약서에 서명함으로써 이에 사전 동의한 것으로 간주한다.",1
"갑은 경영상 필요에 따라 언제든지 을의 근무 장소(타 지역 포함) 및 직무를 변경할 수 있으며, 을은 회사의 인사권 행사에 대하여 어떠한 이의도 제기할 수 없다.",1
"갑은 경영상 필요에 따라 언제든지 을의 근무 장소를 타 지역으로 배치 전환할 수 있으며, 을은 통근의 불편함을 이유로 회사의 인사권 행사에 이의를 제기할 수 없다.",1
"갑은 경영상의 중대한 필요 또는 을의 현저한 근무태도 불량을 이유로 언제든지 계약을 해지할 수 있으며, 이 경우 근로기준법상의 30일 전 예고 의무를 면제하기로 합의한다.",1
"갑은 사내 보안 및 영업비밀 보호를 위하여 필요하다고 판단될 경우, 출퇴근 시 을의 사전 동의 없이 소지품 및 사내 네트워크 접속 기록을 검사할 수 있다.",1
"갑은 현금 유동성 부족 등 경영상 부득이한 사유가 발생한 경우, 당월 급여의 최대 30%를 자사 제품이나 제휴사 서비스 교환권으로 대체하여 지급할 수 있다.",1
"갑의 주문량 폭주 등 업무상 필요에 따라 휴일근로를 지시할 수 있으며, 이 경우 휴일근로수당 지급 대신 평일 중 1일을 무급 휴무로 부여하는 것으로 갈음한다.",1
"강사 계약 기간 내 자진 퇴사 시 채용 공고비 반환 요구는 실제 손해액을 초과하지 않는 합리적 범위 내에서만 유효하며, 근로계약 체결 시 명확히 명시한다.",0
"강사 계약 기간(6개월) 내에 자진 퇴사하더라도, 학원은 채용 및 교육에 소요된 일체의 비용을 근로자에게 배상 요구하지 않는다.",0
"강사 계약 기간(6개월) 내에 자진 퇴사할 경우, 학원이 부담한 채용 공고비 및 입사 교육비를 포함한 총 50만 원을 배상해야 한다.",1
"강사 계약은 안정적 기간 설정이며, 학기 단위 계약 후 재계약 보장이 필요하다.",0
강사 교체 시 교육비는 학원이 부담한다.,0
강사 교체 시 새 강사 교육비는 기존 강사가 부담한다.,1
강사 교체는 협의한다.,0
강사 자율성을 인정하지 않고 일방적으로 교육 방식을 강요한다.,1
"강사 평가는 다양한 기준(교안 품질, 학생 성장, 협력도 등)을 포함한다.",0
강사 회의를 근로시간 외에 한다.,1
"강사가 담당 학생의 성적이 부진할 경우 추가 보충 수업을 무상으로 제공해야 하며, 이는 강사 직무의 일부로 본다.",1
강사가 제안한 교과 개선을 무시한다.,1
강사가 창작한 교안은 강사의 지적재산으로 인정한다.,0
"강사는 담당 수강생의 성적이 하락하는 경우 추가 보충 수업을 무급으로 제공해야 하며, 이는 강사의 기본 직무 의무로 본다.",1
"강사의 SNS 홍보 활동은 자율에 맡기며, 관련 비용 지원을 원하는 경우 합리적 한도 내에서 회사가 지원한다.",0
"강사의 개인 시간 개인 레슨 요청은 근로자의 개인 활동으로 간주하며, 제한하지 않는다.",0
"강사의 개인 일정(병가, 경조사)을 업무 공백으로 간주한다.",1
강사의 근로 계약서를 일방적으로 변경할 수 있다.,1
"강사의 담당 클래스 이탈은 다양한 요소의 결과이며, 급여 공제는 합리적 기준에 따른다.",0
강사의 담당 클래스에서 학생 이탈이 발생하면 그 달 고정급을 삭감할 수 있다.,1
"강사의 보충 수업 제공 의무는 취업규칙에 명시된 범위 내에서 인정하며, 소정근로시간을 초과하는 보충 수업에 대해서는 연장근로수당을 지급한다.",0
강사의 수강생 만족도 설문에 학생이 거짓 응답한 경우 강사 책임으로 한다.,1
강사의 수강생 상담 결과 이탈한 학생 수에 비례한 성과급 차감을 실시한다.,1
강사의 수강생 이탈률이 높으면 연봉 계약을 갱신하지 않는다.,1
"강사의 임신·출산 사실이 학부모 민원의 직접 원인이 된다고 판단할 경우, 학원 운영 목적상 자진 사직을 권고할 수 있다.",1
"강사의 전문성을 존중하고, 교육 방식의 자율성을 인정한다.",0
강사의 제안을 검토하고 피드백한다.,0
"강사의 퇴직 후 경업금지 약정은 구체적인 지역·업종·기간을 명시하며, 경업금지 기간에 상응하는 합리적 보상을 제공한다.",0
"강사의 특강은 소정근로시간 외 자발적 부가 서비스로 간주하며, 주휴·연차·퇴직금 산정 시 소정근로시간에 포함하지 아니하므로 관련 법정수당을 지급하지 아니한다.",1
"강사의 학생 상담은 교육의 중요한 부분이며, 상담 결과로 인한 급여 차감하지 않는다.",0
"강의 시간은 합리적으로 제한되며, 임의 제한은 금지다.",0
강의 준비 시간이 사용자 지시로 이루어지거나 업무 완수에 필수적인 경우 근로시간으로 인정하여 임금을 지급한다.,0
개발 과정에서 발생하는 버그에 대해서는 팀 차원의 품질 개선 방안을 마련하고 개인에게 금전적 패널티를 부과하는 방식을 채택하지 않는다.,0
"개발 기한은 현실적으로 설정되며, 품질과 시간이 함께 고려된다.",0
개발 기한을 초과로 단축하면서 품질을 요구한다.,1
개발 실수로 인한 서비스 장애 비용을 해당 개발자의 다음 분기 보너스에서 회수한다.,1
"개발 실수로 인한 손실은 개인 책임으로 전가하지 않으며, 시스템 개선을 통해 방지한다.",0
개발 언어나 프레임워크 변경 시 적응 기간 동안 급여를 50% 감액한다.,1
개발 완료 후 QA 테스트 기간 중 발견되는 버그 1건당 개발자에게 3만 원의 품질보증 이행 부담금을 부과하여 당월 급여에서 차감한다.,1
개발 완료 후 클라이언트 요구사항 추가 수정은 무상 A/S 범위로 간주하여 납기 이후 투입 시간도 임금 미지급 기준이다.,1
개발 주기 단축을 위해 주말 근무를 강요한다.,1
개발 환경 구축 시간도 프로젝트 시간의 일부로 포함된다.,0
"개발 환경은 충분히 제공되며, 개인 비용 부담을 강요하지 않는다.",0
"개발자 평가는 라인 수(LOC)로 판단하며, 품질은 고려하지 않는다.",1
"개발자 평가는 코드 품질, 기여도, 협업 등 다양한 요소를 고려한다.",0
"개발자 평가는 코드의 품질로 판단하며, 라인 수는 고려하지 않는다.",0
"개발자가 작성한 코드의 소유권은 모두 회사에 귀속되며, 퇴사 후 개인 포트폴리오 공개는 금지한다.",1
"개발자가 작성한 코드의 소유권은 회사에 귀속되되, 퇴사 후 비영리 목적의 포트폴리오 공개는 원칙적으로 허용한다.",0
개발자는 업무 특성상 자발적으로 코드 리뷰 및 기술 미팅에 참석하는 시간은 근로시간에 포함되지 않는다.,1
개발자의 개인 깃허브 저장소까지 회사가 접근 권한을 요구할 수 있다.,1
"개발자의 개인 깃허브는 개인 자산이며, 회사가 접근을 강제할 수 없다.",0
"개발자의 개인 시간 활동은 개인의 자유이며, 회사가 소유를 주장할 수 없다.",0
개발자의 개인 시간에 작성한 기술 블로그도 회사 소유로 간주할 수 있다.,1
개발자의 개인 프로젝트 포트폴리오는 회사의 사전 승인을 받아야 한다.,0
개발자의 기술 부채 누적으로 인한 리팩토링 기간을 개발자의 능력 부족으로 간주한다.,1
"개발자의 기술 부채 누적은 프로젝트 일정의 결과이며, 개발자의 능력 부족으로만 간주하지 않는다.",0
"개발자의 깃 커밋 로그는 개발 문화의 일부이며, 로그 미흡만으로 코드 품질을 판단하지 않는다.",0
개발자의 깃(Git) 커밋 로그가 불충분한 경우(설명 부족) 코드 품질 문제로 간주한다.,1
"개발자의 실수로 데이터 유출이 발생하더라도, 시스템 보안 책임도 함께 진다.",0
개발자의 야근을 정상 업무 시간으로 간주하여 수당 미지급한다.,1
개발자의 오픈소스 기여를 회사 시간 사용으로 본다.,1
"개발자의 의견은 존중되며, 강압적 기술 강요는 하지 않는다.",0
"개발자의 코드 라이선스 준수는 회사의 책임이며, 개발자 일방 책임이 아니다.",0
"개발자의 코드는 업무 기간에 생성된 코드만 회사에 귀속되며, 개인 시간의 코드는 예외다.",0
개발자의 형법 관련 통상적 업무 시간이 야근으로 편성되어 기본급 기준이 된다.,1
개발자의 휴가 중에도 긴급 버그 대응을 강제할 수 있다.,1
개발자의 휴식이 게으름이라고 본다.,1
개발팀 OKR 목표 달성률이 70% 미만인 분기에는 전 팀원의 분기 성과급을 0원으로 처리하며 이에 대한 개인 이의 제기를 허용하지 않는다.,1
개발팀 공통 스프린트 목표를 달성하지 못한 개월에는 직원 전체의 성과수당에서 미달 비율을 동일하게 차감하는 공동연대책임 방식을 적용한다.,1
"개발팀의 스프린트 목표 달성 여부는 여러 요소의 결과이며, 보너스 공제는 합리적 기준에 따른다.",0
개발팀의 스프린트 목표 미달성 시 팀 전체의 보너스를 30% 공제한다.,1
개시 1시간 전 출근하여 준비하는 시간은 자발적 근로이다.,1
"개인 금융 정보 요구는 금지되며, 급여 수준 파악 목적은 불가능하다.",0
"개인 깃허브나 블로그 활동은 자유로우며, 회사는 부당하게 제한할 수 없다.",0
"개인 물품 검사는 정당한 사유가 있을 때만 하며, 근거 없이 하지 않는다.",0
"개인 물품 손상은 회사가 책임지지 않으나, 회사 시설로 인한 손상은 회사가 처리한다.",0
"개인 물품(시계, 반지 등)으로 인한 사고는 개인 책임이다.",1
개인 블로그 글이 회사 기술과 다르면 이직 신호로 본다.,1
"개인 블로그는 개인 활동이며, 평가에 영향을 주지 않는다.",0
"개인 사정(병가, 경조사)은 법정 휴가 기준을 따른다.",0
개인 사정으로 인한 퇴사는 다른 가족원에 영향을 주지 않는다.,0
개인 시간에 창작한 결과물은 회사 사업과 직접적 연관이 없으면 개인 저작권으로 인정한다.,0
개인 시간에도 회사 이미지 관리를 강요한다.,1
개인 시간의 연락은 강요하지 않는다.,0
"개인 시간의 활동은 자유이며, 회사가 통제하지 않는다.",0
개인 시간의 활동은 평가 대상이 아니다.,0
"개인 웹사이트는 개인 자산이며, 회사가 모니터링할 수 없다.",0
개인 자동차 업무 사용 시 유지비는 회사가 부담한다.,0
"개인 정보는 기밀로 보호되며, 임의 공개는 금지다.",0
"개인 포트폴리오 구축은 개발자의 자유이며, 사전 승인은 요구하지 않는다.",0
"개인 학습은 자유로우며, 업무 시간과 명확히 구분된다.",0
"개인 행동 감시는 금지되며, 업무 관련 범위로만 제한된다.",0
개인 활동 허락 없이 팬 활동을 제한한다.,1
개인 활동은 자유다.,0
개인 활동은 합리적 범위 내에서 자유를 보장한다.,0
개인 활동을 통제한다.,1
개인 휴대폰 업무 사용은 선택이지 강제가 아니다.,0
"개인별 실적 평가는 투명한 기준에 따라 이루어지며, 임의적 평가는 금지다.",0
"개인사업자 형태로 도급계약을 체결한 자는 근로기준법상 근로자가 아님을 확인하며, 근로자 지위 주장으로 인한 부당이득 환수 책임은 해당 수급인이 부담한다.",1
"개인사정으로 인한 결근도 법정 절차에 따라 처리되며, 무급 처리는 제한적이다.",0
개인의 신체적 특성을 고려하여 업무를 배치한다.,0
"개인의 의료 정보는 엄격히 보호되며, 인사 평가에 영향을 주지 않는다.",0
개인이 창작한 업무 외 결과물도 회사 사업과 관련성이 있다고 판단되면 회사 귀속으로 본다.,1
"개인적 사유로 병가를 사용할 시 해당 기간은 무급으로 처리함은 물론, 병가 일수만큼 근로계약기간이 이연된 것으로 보아 퇴직금 산정에 불이익을 감수한다.",1
"개인정보 수집은 법정 범위 내에서만 하며, 목적을 명시한다.",0
개인정보를 보호한다.,0
거동 불능 환자 돌봄 중 부상은 돌봄 전문가가 아니라고 책임 회피한다.,1
거래 실패로 인한 손실은 공정한 절차로 평가된다.,0
거리 확대로 인한 비용 증가는 회사가 부담한다.,0
"거부 사유는 고객에게 설명되어야 하며, 설명 의무가 있다.",0
"거점 오피스나 스마트워크 센터를 지정하여 근무하게 하는 경우, 해당 시설 이용에 수반되는 모든 대관 비용은 근로자가 직접 결제한다.",1
"거점 오피스나 스마트워크 센터를 지정하여 근무하게 하는 경우, 해당 시설 이용에 수반되는 모든 대관 비용은 회사가 직접 결제한다.",0
"건강 검진 결과는 의료 기밀로 보호되며, 인사에 부정적으로 사용될 수 없다.",0
건강 상태를 이유로 한 업무 제한은 의료 전문가 판단 후 결정한다.,0
"건강검진 이력은 보건관리 목적으로만 사용되며, 부서 변경의 사유가 될 수 없다.",0
"건강보험료는 회사가 부담하며, 개인 청구는 금지다.",0
"건물 관리원은 입주민 요청에 의한 야간·새벽 긴급 수리 출동에 응해야 하며, 야간 출동 시간에 대해서는 별도 출동 수당 없이 정액 월 수당에 포함된 것으로 처리한다.",1
"건물 관리원의 야간·새벽 긴급 출동 시간은 연장·야간근로로 인정하여 가산수당을 지급하며, 정액 월 수당에 포함된 것으로 처리하지 않는다.",0
"건물 하자 검사 개선 비용은 원청이 부담하며, 협력사 근로자 급여에서 공제하지 않는다.",0
건물 하자 검사에서 적발된 시공 오류 개선 비용은 원청이 아닌 협력사 근로자 급여에서 공제한다.,1
건설 공사 중 환경 민원 발생 시 민원 처리 책임을 현장팀에게 부과한다.,1
건설 공사 중 환경 민원은 회사의 관리 책임으로 인식하고 개선한다.,0
"건설 공사의 공기 단축은 인력과 설비 투자로 대응하며, 야간 근무 강제는 금지다.",0
"건설 공사의 공기 단축을 위해 야간 근무를 강제할 수 있으며, 수당을 감액할 수 있다.",1
건설 기간 지연에 따른 손해배상금의 일부를 현장 근로자들이 부담할 수 있다.,1
건설 기간 지연에 따른 손해배상은 원인을 객관적으로 조사하여 책임을 배분한다.,0
건설 기술자의 감리 의견 무시로 인한 공사 하자는 기술자 책임이므로 복구 비용의 일부를 급여에서 차감한다.,1
"건설 기술자의 감리 의견 불수용으로 인한 하자는 발주처의 책임이며, 기술자 급여에서 차감하지 않는다.",0
건설 노가다 일용근로자의 일일 작업 시간이 5시간 미만인 경우 근로계약 상 건설일용근로자로 간주한다.,1
건설 일용근로자도 근로기준법상의 근로자로 인정하여 최저임금 이상을 지급한다.,0
"건설 하도급 직영 팀장은 독립 도급 사업자로 분류되므로, 하루 10시간 이상의 작업 지시를 받더라도 근로기준법상 근로자로 보호받지 않는다.",1
건설 현장 관리 직원이 안전관리자를 겸직하는 경우 법령에 따른 안전관리 수당을 별도 지급한다.,0
건설 현장 근로자의 개인 안전장구 구매를 강제할 수 있다.,1
건설 현장 근로자의 악천후 가동 중단 시간도 근로시간으로 인정하여 동일한 임금을 지급한다.,0
"건설 현장 근로자의 악천후로 인한 가동 중단 시간도 근로시간으로 인정하되, 임금은 기본급의 50%만 지급한다.",1
"건설 현장 근로자의 장시간 근로는 법정 근로시간 범위 내로 제한하며, 초과분에 대해 수당을 지급한다.",0
건설 현장 근로자의 장시간 근로로 인한 피로는 건설업 특성상 예상되는 결과다.,1
"건설 현장 일용직 근로자는 일 단위 계약을 체결하는 형식이므로, 동일 현장에서 1년 이상 계속 근로하더라도 퇴직금 및 연차유급휴가 지급 의무가 발생하지 않는다.",1
건설 현장 일용직이 동일 현장에서 1년 이상 계속 근로한 경우 근로기준법에 따라 퇴직금 및 연차유급휴가를 지급한다.,0
"건설 현장 전기·설비 기능공의 수습 기간(3개월) 중에는 최저임금의 75%를 지급할 수 있으며, 기능 미숙을 이유로 수습 기간을 2회까지 연장할 수 있다.",1
건설 현장의 다단계 하도급 체계에서도 최종 근로자의 임금 지급은 근로기준법에 따라 보장된다.,0
건설 현장의 새벽 조회 및 작업 준비가 근로시간에 해당하면 임금을 지급한다.,0
건설 현장의 새벽 조회 및 작업 준비는 근로시간 외 이루어지므로 근로시간에서 제외한다.,1
건설 현장의 안전 규정을 임의로 약화시킬 수 있다.,1
건설 현장의 안전사고 예방 책임을 현장소장에게 일방적으로 부과한다.,1
"건설 현장의 안전사고 예방은 회사의 책임이며, 개인 책임만으로 평가하지 않는다.",0
건설 현장의 협력사 다단계 하도급으로 인한 임금 체불은 원청 책임이 아님을 확인한다.,1
건설사 현장 소장의 공사 지연에 따른 원가 상승분은 소장의 관리 책임이므로 급여 감액 사유가 된다.,1
"건설사 현장 소장의 공사 지연은 예측 불가능한 현장 여건의 결과이며, 급여 감액 사유가 아니다.",0
건설사 현장의 안전 점검 결과 위반사항이 발견되면 현장소장을 감봉한다.,1
"건설사 현장의 안전 점검 결과는 시설, 교육 등 전반적 개선을 통해 대응한다.",0
건설사의 공사비 과다 책정으로 인한 손실은 협력업체 근로자의 임금 삭감으로 보전한다.,1
"건설사의 공사비 변동으로 인한 손실은 회사가 부담하며, 협력업체 근로자 임금을 삭감하지 않는다.",0
건설사의 민원 처리를 현장소장의 개인 책임으로 한다.,1
"건설사의 하자 관리 비용은 회사가 부담하며, 시공팀에서 공제하지 않는다.",0
건설사의 하자 관리 비용을 시공팀이 부담하도록 강제할 수 있다.,1
건축 공사 중 민원 발생 시 현장소장의 주민 관계 소홀로 감봉할 수 있다.,1
건축 공사 중 민원은 주민관계팀과 현장팀이 함께 대응한다.,0
건축 공사 중 설계 변경 비용을 협력업체에 전가할 수 있다.,1
건축 설계 변경 비용은 설계팀과 회사가 함께 협의하여 결정한다.,0
건축 설계 변경으로 인한 공기 지연은 발주처 책임이며 보수는 전액 지급한다.,0
건축 설계 변경으로 인한 공기 지연은 설계팀의 책임이며 보수 조정 대상이다.,1
건축 설계 변경으로 인한 비용 증가를 설계팀이 부담해야 한다.,1
"건축 설계 변경은 회사와 설계팀이 함께 검토하며, 설계팀만 책임 지우지 않는다.",0
건축 설계사의 설계 변경 작업은 착수금에 포함된 것으로 간주하여 추가 설계비를 청구할 수 없다.,1
건축 설계사의 설계 변경 작업이 발생한 경우 추가 설계비를 지급한다.,0
게임 개발사 소속 아티스트(그래픽 디자이너)가 개인 커미션 작업을 수행하는 것은 회사 저작권 침해로 간주하여 별도 수입 전액을 몰취하고 징계 해고 처분한다.,1
결근 시 해당 라인의 모든 손실을 결근한 근로자 책임으로 본다.,1
결근 시 해당 라인의 손실액을 모두 해당 근로자가 배상한다.,1
"결근은 그 원인을 파악하며, 일방적으로 손실을 청구하지 않는다.",0
"경력 개발 기회를 제공하며, 승진 기회를 공평하게 준다.",0
경력 개발 기회를 주지 않는다.,1
경력 개발을 지원하지 않는다.,1
경력 개발을 지원한다.,0
"경력 관리는 공정하며, 임금 역전도 자연스러운 것으로 본다.",0
"경력 관리는 출연자와 함께 계획하며, 일방적 결정을 하지 않는다.",0
경력 발전을 지원한다.,0
경력을 인정하지 않는다.,1
경력을 인정한다.,0
경비원의 야간 대기 시간 중 긴급 순찰 지시가 발생하는 경우 해당 시간을 근로시간으로 인정하여 야간 가산수당을 지급한다.,0
"경업금지는 기간, 지역, 범위가 합리적 범위 내로 제한되어야 한다.",0
"경영 목표 미달 시 임금 반납 요청은 근로자 개인의 자유 의사에 따르며, 이를 사전에 의무화하거나 반납 거부를 불이익 사유로 삼지 않는다.",0
"경영상 이유에 의한 해고 시 근로기준법에 따른 해고 회피 노력, 합리적이고 공정한 기준에 따른 대상자 선정 등 법적 절차를 엄격히 준수한다.",0
"경영상 이유에 의한 회사의 권고사직 제안을 거부할 경우, 회사는 해당 직원을 즉시 대기발령 조치하고 이 기간 동안 기본급의 30%만 지급한다.",1
"경쟁금지는 법적 범위 내로 제한되며, 직업 전체 금지는 위법이다.",0
경쟁사와의 접촉이 적발된 경우 실제 정보 제공 여부를 조사하여 구체적 침해 사실이 입증된 경우에만 적법한 절차로 조치한다.,0
경조사 휴가는 법정 기준을 준수하여 제공된다.,0
"계산원의 업무 처리 속도 지표는 개선 지원을 위한 참고 자료로 활용하며, 목표 미달을 이유로 시급을 임의로 삭감하지 않는다.",0
"계약 갱신 기준은 명확하게 공개되며, 자의적 판단은 금지다.",0
"계약 만료 후 재계약 시 기존 근속 기간을 인정하고, 갱신을 거부할 경우 합리적 사유를 서면으로 고지하며 미사용 연차수당을 정산 지급한다.",0
계약 위반 시 위약금 500만 원을 배상한다.,1
